# word	per_million
女兒	203.0287
底	202.9717
擔心	202.2927
夠	201.0150
技術	200.8580
僅	200.1955
畫	199.7653
推出	199.5124
食物	198.9733
送	197.8343
度	197.3181
原本	197.0294
怎麼樣	196.9893
業者	196.9527
雖	196.0807
而是	196.0604
不僅	195.8521
一切	195.7808
教	195.6506
目標	195.4750
人家	195.1928
哪裡	194.7876
依	193.5605
治療	192.5680
遠	192.4993
壓力	191.9748
多少	191.2596
年輕	191.0738
言	191.0243
願意	191.0045
回到	190.9368
音樂	190.6621
民進黨	190.4620
中央	189.7712
根本	189.5603
山	189.5402
敢	189.0900
資料	189.0774
加	188.9546
當中	188.8740
錯	188.3810
價值	188.1458
只有	187.9954
自	187.1317
投資	186.9625
市長	186.8882
事件	186.7562
曾經	186.6613
動物	185.8358
意義	185.5283
於是	184.3966
網路	183.7281
習慣	183.4545
共同	183.4337
媒體	183.4032
歡迎	183.3168
分享	183.1096
離開	182.2369
生	182.1755
意思	182.0275
經	181.8247
女	181.3333
國民黨	181.2579
來自	181.2209
推動	181.1268
作為	181.0361
環保	180.8583
志工	180.7997
似乎	180.5344
座	180.3055
想到	180.2137
擔任	179.9869
份	179.7127
成立	179.1532
聽到	178.7885
別	178.7345
家人	178.7117
遭	178.1523
本身	177.7975
當地	177.4538
有點	177.1367
病人	176.7920
樣	176.5353
注意	176.4069
重新	176.2928
實際	176.1798
鼓勵	175.3755
同樣	174.9833
擁有	174.9551
科技	174.1589
專業	173.7507
內容	173.5795
穿	173.5466
行	173.4403
嘛	173.1900
那邊	173.0819
最近	172.9006
存在	172.3305
有關	172.3235
賣	172.1056
幫忙	172.1031
作	171.9166
部	171.3994
單位	171.2376
菜	170.9882
顆	170.9029
突然	170.0783
稱	169.0677
觀眾	169.0474
功能	169.0310
城市	169.0002
來到	168.9178
加入	168.7349
周	167.8142
例如	167.4442
女性	166.9627
情緒	166.9193
期間	166.7072
通常	166.4301
動作	166.3745
教授	166.2754
北市	165.9704
達	165.8092
國小	165.7309
門	165.6336
低	165.4985
想法	165.2215
經營	165.1342
即使	164.9808
第三	164.8661
快樂	164.7317
不管	164.6884
七	164.5733
根據	164.5036
終於	164.2878
之外	163.9249
晚上	163.6583
眼睛	163.5418
帶來	163.2649
思考	163.0919
態度	163.0178
角色	162.4711
八	162.3538
警方	162.3330
以為	162.1408
全部	161.9786
有沒有	161.7108
光	161.5567
代	161.2563
有的	161.2199
眼	161.0512
不用	160.9729
高雄	160.7828
記得	160.7827
好好	160.7457
在一起	160.6943
通過	160.6735
叫做	160.2261
提到	159.8985
自由	159.3913
辛苦	159.1917
至少	159.1600
減少	158.8963
樹	158.8008
她們	158.5095
困難	158.3971
針對	157.9409
笑	157.6480
香港	157.5455
訓練	157.5009
反而	157.0897
銀行	156.7050
談	156.6944
自我	156.6260
感到	156.5816
觀察	156.5422
保護	156.4920
建築	156.1716
慈濟	155.9904
智慧	155.7444
下去	155.3108
對方	154.8655
像是	154.8515
本來	154.7399
長期	154.7359
工程	154.5049
然而	154.2035
總是	154.0787
類	154.0608
屬於	154.0436
也許	153.9760
而已	153.8933
強	153.3722
英國	153.2729
博士	153.1960
腳	152.6443
男	152.2183
改善	151.6403
團體	151.4415
比賽	151.4020
市府	151.2129
開心	151.0757
團隊	150.9961
結合	150.8235
極	150.5735
耶	150.2663
下午	150.2516
幸福	150.2012
節目	149.7304
群	149.4861
報導	148.1603
茶	148.1603
正在	147.4906
形成	147.3997
生態	147.2310
回家	147.1317
植物	146.9264
知識	146.6557
說明	146.6370
附近	146.4336
結束	146.3001
看起來	146.1231
變化	145.9135
心情	145.4310
拍	145.1537
馬	145.1072
吸引	145.0418
維持	144.9481
越來越	144.9419
演出	144.8347
科學	144.8152
呀	144.7335
解釋	144.6454
創作	144.6395
算	144.6292
具有	144.6096
人民	144.1794
導致	144.1740
公園	144.1660
建立	144.0199
生產	143.9585
年輕人	143.9229
除	143.7990
主義	143.6225
總	143.4688
分析	143.4170
不但	143.2890
充滿	143.2297
反應	143.0177
人們	142.9011
馬上	142.8872
白	142.7736
亦	142.7489
資訊	142.6496
舉行	142.3301
避免	142.1356
需求	141.9871
情形	141.9079
效果	141.6783
報告	141.2284
選舉	141.1747
達到	140.7607
公尺	140.7290
具	140.5015
新聞	140.1242
前往	139.9401
不再	139.7826
跑	139.7596
例	139.6242
需	139.5807
挑戰	139.5781
讀	139.5534
規定	139.3274
日前	139.2611
絕對	139.1855
品牌	139.1644
換	139.1362
開放	138.8781
太多	138.6624
概念	138.5069
方向	138.4463
堅持	138.3751
旁	138.1443
課程	138.0234
交通	137.8769
黨	137.8266
實在	137.3444
海	137.1821
溝通	137.0789
